# Omega Rho_mean Rho_error Rho_sample_0 Rho_sample_1 Rho_sample_2 Rho_sample_3 Rho_sample_4 Rho_sample_5 Rho_sample_6 Rho_sample_7 Rho_sample_8 Rho_sample_9
8.010680907877169854e-02 1.131179712090819134e+00 1.238373818797456564e-03 1.132211332477197185e+00 1.131028565597091307e+00 1.131027077491615573e+00 1.130853067782615407e+00 1.130807314212862069e+00 1.131134021626931663e+00 1.131404623690374756e+00 1.130932558877302929e+00 1.131024756438870682e+00 1.131384866922451993e+00
8.411214953271028971e-02 1.181660938033745056e+00 1.361929416091413499e-03 1.182752877250165646e+00 1.181712932379873182e+00 1.181527618442700822e+00 1.181450030949365626e+00 1.181114146995676295e+00 1.181651635695939895e+00 1.181943957480649621e+00 1.181218448229986340e+00 1.181604663922287468e+00 1.181512929203550000e+00
8.811748998664886701e-02 1.231365989219715074e+00 1.641845311350739961e-03 1.232513464789923185e+00 1.231620111115364846e+00 1.231253084098499873e+00 1.231274036684449680e+00 1.230644682277282076e+00 1.231392007445773595e+00 1.231707281022416334e+00 1.230728467994534947e+00 1.231409710336316410e+00 1.230865001715448326e+00
9.212283044058745818e-02 1.280263846342187817e+00 2.010709314925660483e-03 1.281461598804426449e+00 1.280717420981692500e+00 1.280172326772114344e+00 1.280293269297636094e+00 1.279369164143174809e+00 1.280323758569106962e+00 1.280663196946128846e+00 1.279433061618021839e+00 1.280408140894984559e+00 1.279412837235613720e+00
9.612817089452604935e-02 1.328339688965802123e+00 2.422753110800893780e-03 1.329582078293004344e+00 1.328988579238366885e+00 1.328270401475896589e+00 1.328492172441231967e+00 1.327273900751403390e+00 1.328431758293783904e+00 1.328796548747292139e+00 1.327318704754758771e+00 1.328584468625031878e+00 1.327144072128117358e+00
1.001335113484646266e-01 1.375563458109545500e+00 2.852602094442549790e-03 1.376844528393685430e+00 1.376402243986969864e+00 1.375517130387901021e+00 1.375840008109573409e+00 1.374329853620378072e+00 1.375685682330046511e+00 1.376076972208561955e+00 1.374356494770147874e+00 1.375908030445454067e+00 1.374030823816736691e+00
1.041388518024032178e-01 1.421926829397638814e+00 3.286069714471015306e-03 1.423240404683647764e+00 1.422948992799431212e+00 1.421904073408934543e+00 1.422327829276031297e+00 1.420529588715894853e+00 1.422076985632811486e+00 1.422495878992298790e+00 1.420539105385889567e+00 1.422369962472864735e+00 1.420066651029945115e+00
1.081441922563417951e-01 1.467398569943865860e+00 3.714563082479990438e-03 1.468738304448039100e+00 1.468596642807606933e+00 1.467399886447250168e+00 1.467923825461406651e+00 1.465842678614303507e+00 1.467574252829769055e+00 1.468021795274220054e+00 1.465836189947539392e+00 1.467938542850742545e+00 1.465221975257267495e+00
1.121495327102803863e-01 1.511973753238688323e+00 4.132542582382856683e-03 1.513333222551918711e+00 1.513339486826493330e+00 1.511999534850230864e+00 1.512622546287170300e+00 1.510264877784262438e+00 1.512172415020923699e+00 1.512649593625050359e+00 1.510243559565656479e+00 1.512608416791579646e+00 1.509493253901632137e+00
1.161548731642189636e-01 1.555625991949278752e+00 4.536136203558875993e-03 1.556998735426000868e+00 1.557150478914315128e+00 1.555676526513316560e+00 1.556397116509963485e+00 1.553770410150826287e+00 1.555844974465577346e+00 1.556352704252286667e+00 1.553735472736894385e+00 1.556352810006295995e+00 1.552855295941507174e+00
1.201602136181575547e-01 1.598351173522404745e+00 4.922610075497627254e-03 1.599730771094164172e+00 1.600024995776985648e+00 1.598426647696633784e+00 1.599242985641725401e+00 1.596355663738528330e+00 1.598587742721983007e+00 1.599126867495830329e+00 1.596308331835833760e+00 1.599167277795585429e+00 1.595304947468229928e+00
1.241655540720961320e-01 1.640126125078304353e+00 5.289904609929401910e-03 1.641506231962428730e+00 1.641939452207453742e+00 1.640226626906962970e+00 1.641136571404266942e+00 1.637997909583000844e+00 1.640377497186363165e+00 1.640948777936858560e+00 1.637939404867919002e+00 1.641028348547806992e+00 1.636819843273075170e+00
1.281708945260347232e-01 1.680949379503333896e+00 5.636554738956252308e-03 1.682323791090253762e+00 1.682892097828842193e+00 1.681074902624561052e+00 1.682076044912440782e+00 1.678696024225696304e+00 1.681212750313065829e+00 1.681816867963953577e+00 1.678627548984060303e+00 1.681934306629817577e+00 1.677399113970190259e+00
1.321762349799733005e-01 1.720799110003332633e+00 5.961432084887214461e-03 1.722161785713776316e+00 1.722860896331972036e+00 1.720949555606846815e+00 1.722039238342778056e+00 1.718428483596970091e+00 1.721071675237975995e+00 1.721709219736831775e+00 1.718351207707806694e+00 1.721863101715378708e+00 1.717021418191595705e+00
1.361815754339119056e-01 1.759681047223724981e+00 6.263820515363594486e-03 1.761026168597108699e+00 1.761851487535221805e+00 1.759856229489430879e+00 1.761031591457726586e+00 1.757201222116758998e+00 1.759960027799142290e+00 1.760631505064406799e+00 1.757116270058817431e+00 1.760820290720267467e+00 1.755692774472899176e+00
1.401869158878504829e-01 1.797570093556421611e+00 6.543157399888701979e-03 1.798892070758017603e+00 1.799838723467212187e+00 1.797769740299071328e+00 1.799027722901678894e+00 1.794989331970501034e+00 1.797852749270421047e+00 1.798558567412406717e+00 1.794897774151776648e+00 1.798780614022767343e+00 1.793388315782798115e+00
1.441922563417890601e-01 1.834477809794506697e+00 6.799227397987865455e-03 1.835771335553848749e+00 1.836834228589351747e+00 1.834701569617632089e+00 1.836038965724509975e+00 1.831804460566458292e+00 1.834761461401350546e+00 1.835501943120965151e+00 1.831707303181971502e+00 1.835755522582660060e+00 1.830119638176997299e+00
1.481975967957276374e-01 1.870382451637830901e+00 7.031877257278594008e-03 1.871642498129527876e+00 1.872816341205024271e+00 1.870629893884707906e+00 1.872043347354268805e+00 1.867624951024455360e+00 1.870664489779198636e+00 1.871439858378607379e+00 1.867523130927912112e+00 1.871723166141515460e+00 1.865865009527681861e+00
1.522029372496662425e-01 1.905290938623545038e+00 7.241214514778617460e-03 1.906512795185974607e+00 1.907792153241337552e+00 1.905561560463590931e+00 1.907047607835687053e+00 1.902457726342696720e+00 1.905568840441352663e+00 1.906379230941222191e+00 1.902352104204970029e+00 1.906690402025024156e+00 1.900631205081673158e+00
1.562082777036048198e-01 1.939194938511640709e+00 7.427422460957737622e-03 1.940374214223556715e+00 1.941753531437493185e+00 1.939488166855554141e+00 1.941043245803763639e+00 1.936294441703051650e+00 1.939466275611762658e+00 1.940311728791715984e+00 1.936185798820434512e+00 1.940648847144094136e+00 1.934409706193628953e+00
1.602136181575433971e-01 1.972093690404378430e+00 7.590825763271366947e-03 1.973226328729652090e+00 1.974699963435726291e+00 1.972408886802544004e+00 1.974029360126886790e+00 1.969134278032103502e+00 1.972356138584459240e+00 1.973236604878229494e+00 1.969023313145037202e+00 1.973597715348568427e+00 1.967199478573661953e+00
1.642189586114820021e-01 2.003986131740388199e+00 7.731844138201567247e-03 2.005068416411793120e+00 2.006630668565031694e+00 2.004322596341206797e+00 2.006004768776715963e+00 2.000976084174460379e+00 2.004237477936641643e+00 2.005152818567854656e+00 2.000863411834061356e+00 2.005535937072131514e+00 1.998999127216864791e+00
1.682242990654205794e-01 2.034873245227025951e+00 7.850986605038993635e-03 2.035901804412107996e+00 2.037546942339562239e+00 2.035230221165367226e+00 2.036970356875655419e+00 2.031820723684271357e+00 2.035111393321058504e+00 2.036061382912387696e+00 2.031706873502651334e+00 2.036464506396216567e+00 2.029809245858710476e+00
1.722296395193591567e-01 2.064752922601757135e+00 7.948818750084627946e-03 2.065724727632835656e+00 2.067447008433677791e+00 2.065129599546712047e+00 2.066923934104022642e+00 2.061665949403378217e+00 2.064975897291963403e+00 2.065960224479652219e+00 2.061551366500138371e+00 2.066381339282135965e+00 2.059627301118997611e+00
1.762349799732977340e-01 2.093632829927262851e+00 8.026000860550145180e-03 2.094545197793549196e+00 2.096338896227842419e+00 2.094028349965730396e+00 2.095873112341220867e+00 2.090519252382785353e+00 2.093838780842676162e+00 2.094857055308299909e+00 2.090404297923071475e+00 2.095294147540548213e+00 2.088460472799205547e+00
1.802403204272363391e-01 2.121510200178445604e+00 8.083199969580819391e-03 2.122360784100905118e+00 2.124220202828976056e+00 2.121923660064414907e+00 2.123815076108295674e+00 2.118377687372639873e+00 2.121697402681277822e+00 2.122749152902794645e+00 2.118262640940538954e+00 2.123200214184250978e+00 2.116305503011559175e+00
1.842456608811749164e-01 2.148389713167386805e+00 8.121149725536177394e-03 2.149176499684246622e+00 2.151095992589158623e+00 2.148820169820368164e+00 2.150754480290269388e+00 2.145245728469690860e+00 2.148556570129711130e+00 2.149641249900720030e+00 2.145130790069297522e+00 2.150104286198717407e+00 2.143166537482518397e+00
1.882510013351134937e-01 2.174276726842796492e+00 8.140616194571832429e-03 2.174998027748217044e+00 2.176972016089641304e+00 2.174723201635770486e+00 2.176696673499128654e+00 2.171128512887069650e+00 2.174421768752033302e+00 2.175538760762764312e+00 2.171013805858804435e+00 2.176011799360474175e+00 2.169048379020099393e+00
1.922563417890520987e-01 2.199177395380066624e+00 8.142391134207525860e-03 2.199831838207141121e+00 2.201854825311888142e+00 2.199638878413856080e+00 2.201647815370784134e+00 2.196031961009715872e+00 2.199299279670346774e+00 2.200447899335930657e+00 2.195917535395642606e+00 2.200928995312362524e+00 2.193956610135251228e+00
1.962616822429906760e-01 2.223096573519652175e+00 8.127277962489571142e-03 2.223683090179491728e+00 2.225749672730411799e+00 2.223572027398097006e+00 2.225612777641474693e+00 2.219960685666263256e+00 2.223194083115200836e+00 2.224373581448379600e+00 2.219846522062737026e+00 2.224860823200936810e+00 2.217895506642464820e+00
2.002670226969292533e-01 2.246040410791212860e+00 8.096096006692535957e-03 2.246558226073311459e+00 2.248663106395235367e+00 2.246528774856724198e+00 2.248597740389150612e+00 2.242920584348798485e+00 2.246112452244683144e+00 2.247322020165812617e+00 2.242806597930424140e+00 2.247813535018902353e+00 2.240870629445756990e+00
2.042723631508678306e-01 2.268012888562202622e+00 8.049663181773157594e-03 2.268461506962010432e+00 2.270599500834562967e+00 2.268513082303851736e+00 2.270606724325545223e+00 2.264915382696552015e+00 2.268058489563551383e+00 2.269297260437875163e+00 2.264801427661630839e+00 2.269791219036700003e+00 2.262885372986150667e+00
2.082777036048064356e-01 2.289032903740165548e+00 7.988852158817118590e-03 2.289412098863513823e+00 2.291578158291681433e+00 2.289543833887551560e+00 2.291658693244520428e+00 2.285963696453307215e+00 2.289051210481072296e+00 2.290318272073402994e+00 2.285849569798347858e+00 2.290812896043619151e+00 2.283958013549044708e+00
2.122830440587450129e-01 2.309091894335611794e+00 7.914437010063177583e-03 2.309401689805949953e+00 2.311590884714298078e+00 2.309612452469129273e+00 2.311745130293239470e+00 2.306056715961607662e+00 2.309082167797790408e+00 2.310376551022677027e+00 2.305942163511771614e+00 2.310870110985971504e+00 2.304079432805587579e+00
2.162883845126835902e-01 2.328216571399035040e+00 7.827309706836340503e-03 2.328457232253495324e+00 2.330664790438155443e+00 2.328745645399502351e+00 2.330892841022324191e+00 2.325220854923348401e+00 2.328178183998001138e+00 2.329498886291916815e+00 2.325105574309052070e+00 2.329989713023843390e+00 2.323275712521569503e+00
2.202937249666221675e-01 2.346400893799941212e+00 7.728241909210641948e-03 2.346572907304841582e+00 2.348794189055903203e+00 2.346937363932334097e+00 2.349095849365497646e+00 2.343449816714720857e+00 2.346333325592560470e+00 2.347679296415864147e+00 2.343333463773520364e+00 2.348165776978676345e+00 2.341540260835134557e+00
2.242990654205607726e-01 2.363667620306278305e+00 7.618092283025850071e-03 2.363771684357350633e+00 2.366002214502033407e+00 2.364210369065969264e+00 2.366377019683590710e+00 2.360766067170799065e+00 2.363570454497876394e+00 2.364940615422892023e+00 2.360648259290027084e+00 2.365421201984804433e+00 2.358895233567137151e+00
2.283044058744993499e-01 2.380014100454946213e+00 7.497623799606650125e-03 2.380051106960126006e+00 2.382286554762519604e+00 2.380562009938329560e+00 2.382733784683867206e+00 2.377166695524922879e+00 2.379887019891905542e+00 2.381280253768983446e+00 2.377047017637397897e+00 2.381753460702268121e+00 2.375337440643741527e+00
