# Omega Rho_mean Rho_error Rho_sample_0 Rho_sample_1 Rho_sample_2 Rho_sample_3 Rho_sample_4 Rho_sample_5 Rho_sample_6 Rho_sample_7 Rho_sample_8 Rho_sample_9
1.002004008016031955e-01 1.204111761555617166e+00 9.285370723366150048e-02 1.137746022875792296e+00 1.194049771031371776e+00 1.191104932885167722e+00 1.195668620116983938e+00 1.205880009796138630e+00 1.162727416205435738e+00 1.208249470597006159e+00 1.202259589651519800e+00 1.163064506897559580e+00 1.182391933326532252e+00
1.042084168336673278e-01 1.263523017359290845e+00 9.677230182532103875e-02 1.194474119965645009e+00 1.253285090447331385e+00 1.249742750686255732e+00 1.254685532948331739e+00 1.265471032073528956e+00 1.220271952758477774e+00 1.267731899565473164e+00 1.261406430039483606e+00 1.220777179180494443e+00 1.240736337706874304e+00
1.082164328657314600e-01 1.323229744082943249e+00 1.004636838661168013e-01 1.251618124620359485e+00 1.312824180113637551e+00 1.308663198008196416e+00 1.314078699173010900e+00 1.325350017497985089e+00 1.278167563302014864e+00 1.327453564478610959e+00 1.320846935528026123e+00 1.278980643418260232e+00 1.299477788372184417e+00
1.122244488977955784e-01 1.382968005577324355e+00 1.039078884504461425e-01 1.308925706803580447e+00 1.372402357624076474e+00 1.367607276505586889e+00 1.373587786934157950e+00 1.385249776524034582e+00 1.336160215847962629e+00 1.387150275492783802e+00 1.380320106488020171e+00 1.337422551428359752e+00 1.358359388629416520e+00
1.162324649298597107e-01 1.442489097425954769e+00 1.070916585670678434e-01 1.366155999044633695e+00 1.431769681312122566e+00 1.426331382346908150e+00 1.432966116196667805e+00 1.444918373559745728e+00 1.394009362016813913e+00 1.446574321499287885e+00 1.439580283234046298e+00 1.395861395488791956e+00 1.417137157503925327e+00
1.202404809619238429e-01 1.501561439616973193e+00 1.100081693416516543e-01 1.423081659763530515e+00 1.490692928779612680e+00 1.484609086435804581e+00 1.491982602070063058e+00 1.504121115033203004e+00 1.451489814660320787e+00 1.505496253917140370e+00 1.498398951069246809e+00 1.454068530562955930e+00 1.475581975263245527e+00
1.242484969939879613e-01 1.559971875052718504e+00 1.126565532086564042e-01 1.479490452190676431e+00 1.548956988564864634e+00 1.542232323614291634e+00 1.550423153216953231e+00 1.562641934448677716e+00 1.508393088880698008e+00 1.563706042649283701e+00 1.556565955954725577e+00 1.511829738553090774e+00 1.533481010156903634e+00
1.282565130260520936e-01 1.617526422770729555e+00 1.150412742315293640e-01 1.535186359663889277e+00 1.606365708984897944e+00 1.599012044442396530e+00 1.608091562161438226e+00 1.620284220012442766e+00 1.564528245344501745e+00 1.621013664902972273e+00 1.613890182907503190e+00 1.568946352287254653e+00 1.590638658195625998e+00
1.322645290581162258e-01 1.674050549789918518e+00 1.171714003085560785e-01 1.589990273150042155e+00 1.662742263680342836e+00 1.654778397177947502e+00 1.664809939449779286e+00 1.676871146533816859e+00 1.619722289030371964e+00 1.677249201924528865e+00 1.670199763430534778e+00 1.625235971500595955e+00 1.646877042582959749e+00
1.362725450901803581e-01 1.729389033836144174e+00 1.190598191983531368e-01 1.643740297070914957e+00 1.717929102414564424e+00 1.709380514797550266e+00 1.720418752834196319e+00 1.732245582728731748e+00 1.673820184917113929e+00 1.732262525688696764e+00 1.725341885740070413e+00 1.680532813088912558e+00 1.702036128696282624e+00
1.402805611222444904e-01 1.783405491800355680e+00 1.207224391260921653e-01 1.696291725325622224e+00 1.771787559090290287e+00 1.762685983379981280e+00 1.774776536663416282e+00 1.786269648639806418e+00 1.726684555392196785e+00 1.785922658429150323e+00 1.779182283318376356e+00 1.734687743753054567e+00 1.755973514914284772e+00
1.442885771543085949e-01 1.835981646838581227e+00 1.221774081189012512e-01 1.747516741459801626e+00 1.824197187857362179e+00 1.814580065205036563e+00 1.827759336436304061e+00 1.838823996775382774e+00 1.778195123347070083e+00 1.838116884029689313e+00 1.831604474639684010e+00 1.787568045424098750e+00 1.808563959971685620e+00
1.482965931863727271e-01 1.887016401783470521e+00 1.234443789819357207e-01 1.797303896011507307e+00 1.875054893770127684e+00 1.864964743812366432e+00 1.879259950054753547e+00 1.889806885974127715e+00 1.828247961090089024e+00 1.888749683152564307e+00 1.882508821077712557e+00 1.839056963280575774e+00 1.859698704842968953e+00
1.523046092184368594e-01 1.936424779167895460e+00 1.245438396202777076e-01 1.845557410951779609e+00 1.924273917825786606e+00 1.913757650214735762e+00 1.929187021708074212e+00 1.939133110077849942e+00 1.876754599357176367e+00 1.937741554865788807e+00 1.931811462185620387e+00 1.889053083475310979e+00 1.909284642343042515e+00
1.563126252505009917e-01 1.984136779662596828e+00 1.254965217106905617e-01 1.892196356558002002e+00 1.971782728343483448e+00 1.960890920477131871e+00 1.977464037423677823e+00 1.986732835253665730e+00 1.923641043708877341e+00 1.985027777534322135e+00 1.979443178742853249e+00 1.937469583560448960e+00 1.957243381509819580e+00
1.603206412825651239e-01 2.030096201905186692e+00 1.263228948359975401e-01 1.937153740635357835e+00 2.017523862315320660e+00 2.006310025750816184e+00 2.024028263864044330e+00 2.032550391073697060e+00 1.968846738180246136e+00 2.030557151708241470e+00 2.025348224978461342e+00 1.984233393626212205e+00 2.003510247090981800e+00
1.643286573146292562e-01 2.074259458139979362e+00 1.270427482703712641e-01 1.980375544237630514e+00 2.061452752165827906e+00 2.049972607159519011e+00 2.068829664500661192e+00 2.076543051859649047e+00 2.012323508730019750e+00 2.074290758275660007e+00 2.069483162778736673e+00 2.029284300829159449e+00 2.048033247627618181e+00
1.683366733466933607e-01 2.116594412202371878e+00 1.276748586870827817e-01 2.021819732316530338e+00 2.103536565709259065e+00 2.091847340049960202e+00 2.111829820255478385e+00 2.118679836769664426e+00 2.054034512190630490e+00 2.116200756637315550e+00 2.111815722849847532e+00 2.072574024646758328e+00 2.090772039099327184e+00
1.723446893787574929e-01 2.157079259408044347e+00 1.282367391095146913e-01 2.061455262317812398e+00 2.143753080249692911e+00 2.131912845248485233e+00 2.153000875328046515e+00 2.158940349918468282e+00 2.093953210281133792e+00 2.156269240309641955e+00 2.152323710948517821e+00 2.114065285118033710e+00 2.131696905123591446e+00
1.763527054108216252e-01 2.195701461957179301e+00 1.287444623473259775e-01 2.099261108816480093e+00 2.182089605856461834e+00 2.170156659190053183e+00 2.192324523363608169e+00 2.197313675619101403e+00 2.132062382928719302e+00 2.194487161241991835e+00 2.190993971503850002e+00 2.153730881685357090e+00 2.170787769433407455e+00
1.803607214428857575e-01 2.232456748550591286e+00 1.292125508307900572e-01 2.135225317936772615e+00 2.218541967900345302e+00 2.206574270090786882e+00 2.229791044413975243e+00 2.233797338652903974e+00 2.168353190682358544e+00 2.230853329209970592e+00 2.227821416224426088e+00 2.191552796136523096e+00 2.208033251851821976e+00
1.843687374749498897e-01 2.267348182985798655e+00 1.296539240472251442e-01 2.169344101571525574e+00 2.253113554920548545e+00 2.241168223645365831e+00 2.265398399284883180e+00 2.268396335280819187e+00 2.202824292366297065e+00 2.265373488825061177e+00 2.262808121548395501e+00 2.227521329598404876e+00 2.243429775239844659e+00
1.883767535070140220e-01 2.300385303460793285e+00 1.300798945685926467e-01 2.201620978290196540e+00 2.285814434730074840e+00 2.273947298931465966e+00 2.299151384790185215e+00 2.301122237420733629e+00 2.235481021242401223e+00 2.298059473846540079e+00 2.295962495942154291e+00 2.261634280550004039e+00 2.276980727869641452e+00
1.923847695390781265e-01 2.331583332045968682e+00 1.305002038244365559e-01 2.232065965269064645e+00 2.316660539256737650e+00 2.304925753166483293e+00 2.331060851061098838e+00 2.331992369925998343e+00 2.266334620740512840e+00 2.328928436447307959e+00 2.327298515961174097e+00 2.293896168372756339e+00 2.308695683299370582e+00
1.963927855711422588e-01 2.360962452166280201e+00 1.309230892205193730e-01 2.260694823535266185e+00 2.345672916846533784e+00 2.334122632553853993e+00 2.361142980290080740e+00 2.361029059090263615e+00 2.295401539176084693e+00 2.358002147721040664e+00 2.356835028525240183e+00 2.324317504990414562e+00 2.338589678015456030e+00
2.004008016032063910e-01 2.388547150846688005e+00 1.313553748481979255e-01 2.287528357225316000e+00 2.372877049514784620e+00 2.361561145552586893e+00 2.389418625025184539e+00 2.388258949255109176e+00 2.322702781707015607e+00 2.385306364885131813e+00 2.384595115906938734e+00 2.352914115611825618e+00 2.366682545776067403e+00
2.044088176352705233e-01 2.414365621802356809e+00 1.318025788034623835e-01 2.312591766351718370e+00 2.398302231813617791e+00 2.387268094390003093e+00 2.415912703276568596e+00 2.413712383597788946e+00 2.348263316994337213e+00 2.410870260206812166e+00 2.410605519374600103e+00 2.379706508415784683e+00 2.392998306650771401e+00
2.084168336673346555e-01 2.438449225106150031e+00 1.322690309833198519e-01 2.335914051686323045e+00 2.421981007500964012e+00 2.411273360419038614e+00 2.440653647168262719e+00 2.437422844728892812e+00 2.372111535544203953e+00 2.434725906554888741e+00 2.434896117174073282e+00 2.404719292150234278e+00 2.417564608129894488e+00
2.124248496993987878e-01 2.460831999053714636e+00 1.327579961047002932e-01 2.357527469744935544e+00 2.443948659963914860e+00 2.433609438913566070e+00 2.463672901587804720e+00 2.459426450545600495e+00 2.394278756448191547e+00 2.456907814566022807e+00 2.457499452494029235e+00 2.427980640000512391e+00 2.440412215301948518e+00
2.164328657314629201e-01 2.481550219905882759e+00 1.332717975629199858e-01 2.377467035444335686e+00 2.464242752303492878e+00 2.454311019034987051e+00 2.485004469193086152e+00 2.479761500796107576e+00 2.414798779148837227e+00 2.477452516644943703e+00 2.478450307173527989e+00 2.449521797666226242e+00 2.461574546911962980e+00
2.204408817635270246e-01 2.500642005362373688e+00 1.338119385843176690e-01 2.395770069753162979e+00 2.482902713072709044e+00 2.473414604937243411e+00 2.504684498175405505e+00 2.498468069954544291e+00 2.433707476887434051e+00 2.496398193336073490e+00 2.497785317124113558e+00 2.469376633328567827e+00 2.481087254066880909e+00
