# Omega Rho_mean
3.256513026052104021e+00 8.051762716929065922e-02
3.266533066132264462e+00 8.058523967965751378e-02
3.276553106212424904e+00 8.066574267256335085e-02
3.286573146292584902e+00 8.075894952181746078e-02
3.296593186372745343e+00 8.086467968530516859e-02
3.306613226452905785e+00 8.098275845768257430e-02
3.316633266533065783e+00 8.111301672618799474e-02
3.326653306613226224e+00 8.125529074139446750e-02
3.336673346693386666e+00 8.140942188896783949e-02
3.346693386773547108e+00 8.157525647876046060e-02
3.356713426853707105e+00 8.175264552863771572e-02
3.366733466933867547e+00 8.194144456686723588e-02
3.376753507014027988e+00 8.214151343474934697e-02
3.386773547094188430e+00 8.235271609720819230e-02
3.396793587174348428e+00 8.257492046251579954e-02
3.406813627254508869e+00 8.280799820469257611e-02
3.416833667334669311e+00 8.305182459540304263e-02
3.426853707414829309e+00 8.330627833346661293e-02
3.436873747494989750e+00 8.357124139440026689e-02
3.446893787575150192e+00 8.384659887133232015e-02
3.456913827655310634e+00 8.413223882889439564e-02
3.466933867735470631e+00 8.442805215908986971e-02
3.476953907815631073e+00 8.473393244375528044e-02
3.486973947895791515e+00 8.504977582019884741e-02
3.496993987975951956e+00 8.537548085287434418e-02
3.507014028056111954e+00 8.571094840919074587e-02
3.517034068136272396e+00 8.605608153777276337e-02
3.527054108216432837e+00 8.641078535299206997e-02
3.537074148296592835e+00 8.677496692297813341e-02
3.547094188376753277e+00 8.714853516001146161e-02
3.557114228456913718e+00 8.753140071886461593e-02
3.567134268537074160e+00 8.792347589200125157e-02
3.577154308617234157e+00 8.832467451433853589e-02
3.587174348697394599e+00 8.873491186962036148e-02
3.597194388777555041e+00 8.915410459936670695e-02
3.607214428857715482e+00 8.958217061445251927e-02
3.617234468937875480e+00 9.001902900964729726e-02
3.627254509018035922e+00 9.046459998883145393e-02
3.637274549098196363e+00 9.091880477702714292e-02
3.647294589178356361e+00 9.138156555336202080e-02
3.657314629258516803e+00 9.185280537309245541e-02
3.667334669338677244e+00 9.233244810227633770e-02
3.677354709418837686e+00 9.282041834299917249e-02
3.687374749498997684e+00 9.331664137911130363e-02
3.697394789579158125e+00 9.382104310500130606e-02
3.707414829659318567e+00 9.433354996941825665e-02
3.717434869739479009e+00 9.485408891924668184e-02
3.727454909819639006e+00 9.538258734268788286e-02
3.737474949899799448e+00 9.591897301714429058e-02
3.747494989979959890e+00 9.646317405795119815e-02
3.757515030060119887e+00 9.701511887174329996e-02
3.767535070140280329e+00 9.757473610565109423e-02
3.777555110220440771e+00 9.814195461000700671e-02
3.787575150300601212e+00 9.871670339018540075e-02
