#w	rho	error	jackknife1	jackknife2	jackknife3	jackknife4	jackknife5	jackknife6	jackknife7	jackknife8	jackknife9	jackknife10
0.860861	2.929459e-02	4.237785e-04	2.940500e-02	2.935265e-02	2.941153e-02	2.914374e-02	2.920220e-02	2.901394e-02	2.936726e-02	2.934270e-02	2.920222e-02	2.950465e-02
0.870871	3.010109e-02	4.340529e-04	3.021494e-02	3.016314e-02	3.021606e-02	2.995435e-02	3.000945e-02	2.980588e-02	3.017577e-02	3.015706e-02	3.000347e-02	3.031082e-02
0.880881	3.092302e-02	4.446407e-04	3.104035e-02	3.098906e-02	3.103588e-02	3.078058e-02	3.083217e-02	3.061326e-02	3.099963e-02	3.098700e-02	3.082010e-02	3.113220e-02
0.890891	3.176016e-02	4.555184e-04	3.188102e-02	3.183020e-02	3.187075e-02	3.162223e-02	3.167014e-02	3.143589e-02	3.183862e-02	3.183229e-02	3.165191e-02	3.196860e-02
0.900901	3.261230e-02	4.666619e-04	3.273673e-02	3.268634e-02	3.272048e-02	3.247906e-02	3.252313e-02	3.227357e-02	3.269254e-02	3.269271e-02	3.249868e-02	3.281978e-02
0.910911	3.347921e-02	4.780469e-04	3.360725e-02	3.355724e-02	3.358482e-02	3.335087e-02	3.339093e-02	3.312609e-02	3.356113e-02	3.356804e-02	3.336019e-02	3.368551e-02
0.920921	3.436065e-02	4.896493e-04	3.449235e-02	3.444266e-02	3.446356e-02	3.423741e-02	3.427329e-02	3.399324e-02	3.444418e-02	3.445804e-02	3.423622e-02	3.456555e-02
0.930931	3.525638e-02	5.014451e-04	3.539178e-02	3.534237e-02	3.535643e-02	3.513843e-02	3.516998e-02	3.487480e-02	3.534142e-02	3.536244e-02	3.512653e-02	3.545966e-02
0.940941	3.616616e-02	5.134107e-04	3.630529e-02	3.625609e-02	3.626320e-02	3.605370e-02	3.608073e-02	3.577053e-02	3.625262e-02	3.628101e-02	3.603086e-02	3.636759e-02
0.950951	3.708972e-02	5.255226e-04	3.723261e-02	3.718357e-02	3.718360e-02	3.698293e-02	3.700529e-02	3.668018e-02	3.717750e-02	3.721347e-02	3.694897e-02	3.728907e-02
0.960961	3.802679e-02	5.377580e-04	3.817349e-02	3.812453e-02	3.811736e-02	3.792588e-02	3.794338e-02	3.760352e-02	3.811579e-02	3.815956e-02	3.788059e-02	3.822382e-02
0.970971	3.897711e-02	5.500945e-04	3.912763e-02	3.907870e-02	3.906422e-02	3.888225e-02	3.889474e-02	3.854028e-02	3.906722e-02	3.911898e-02	3.882545e-02	3.917157e-02
0.980981	3.994038e-02	5.625104e-04	4.009477e-02	4.004578e-02	4.002388e-02	3.985178e-02	3.985908e-02	3.949021e-02	4.003150e-02	4.009146e-02	3.978328e-02	4.013204e-02
0.990991	4.091631e-02	5.749846e-04	4.107459e-02	4.102548e-02	4.099606e-02	4.083415e-02	4.083609e-02	4.045302e-02	4.100834e-02	4.107669e-02	4.075378e-02	4.110493e-02
1.001001	4.190462e-02	5.874965e-04	4.206682e-02	4.201750e-02	4.198045e-02	4.182908e-02	4.182549e-02	4.142843e-02	4.199744e-02	4.207437e-02	4.173667e-02	4.208994e-02
1.011011	4.290499e-02	6.000263e-04	4.307113e-02	4.302152e-02	4.297676e-02	4.283626e-02	4.282697e-02	4.241617e-02	4.299848e-02	4.308419e-02	4.273165e-02	4.308676e-02
1.021021	4.391711e-02	6.125549e-04	4.408721e-02	4.403724e-02	4.398468e-02	4.385537e-02	4.384021e-02	4.341592e-02	4.401116e-02	4.410584e-02	4.373840e-02	4.409508e-02
1.031031	4.494066e-02	6.250640e-04	4.511475e-02	4.506432e-02	4.500388e-02	4.488609e-02	4.486489e-02	4.442741e-02	4.503515e-02	4.513898e-02	4.475662e-02	4.511457e-02
1.041041	4.597533e-02	6.375358e-04	4.615341e-02	4.610244e-02	4.603403e-02	4.592809e-02	4.590069e-02	4.545030e-02	4.607012e-02	4.618329e-02	4.578598e-02	4.614491e-02
1.051051	4.702076e-02	6.499536e-04	4.720286e-02	4.715125e-02	4.707482e-02	4.698104e-02	4.694727e-02	4.648430e-02	4.711574e-02	4.723843e-02	4.682615e-02	4.718576e-02
1.061061	4.807663e-02	6.623013e-04	4.826276e-02	4.821042e-02	4.812589e-02	4.804461e-02	4.800429e-02	4.752907e-02	4.817167e-02	4.830404e-02	4.787681e-02	4.823678e-02
1.071071	4.914260e-02	6.745634e-04	4.933276e-02	4.927960e-02	4.918691e-02	4.911843e-02	4.907140e-02	4.858429e-02	4.923757e-02	4.937979e-02	4.893762e-02	4.929763e-02
1.081081	5.021830e-02	6.867256e-04	5.041252e-02	5.035842e-02	5.025753e-02	5.020215e-02	5.014825e-02	4.964962e-02	5.031307e-02	5.046531e-02	5.000821e-02	5.036795e-02
1.091091	5.130339e-02	6.987740e-04	5.150166e-02	5.144654e-02	5.133738e-02	5.129543e-02	5.123448e-02	5.072472e-02	5.139781e-02	5.156025e-02	5.108826e-02	5.144739e-02
1.101101	5.239750e-02	7.106957e-04	5.259983e-02	5.254358e-02	5.242612e-02	5.239789e-02	5.232973e-02	5.180925e-02	5.249145e-02	5.266422e-02	5.217739e-02	5.253558e-02
1.111111	5.350027e-02	7.224787e-04	5.370666e-02	5.364917e-02	5.352337e-02	5.350915e-02	5.343363e-02	5.290285e-02	5.359360e-02	5.377687e-02	5.327525e-02	5.363216e-02
1.121121	5.461132e-02	7.341117e-04	5.482177e-02	5.476293e-02	5.462876e-02	5.462886e-02	5.454581e-02	5.400517e-02	5.470389e-02	5.489780e-02	5.438147e-02	5.473674e-02
1.131131	5.573027e-02	7.455843e-04	5.594478e-02	5.588448e-02	5.574192e-02	5.575662e-02	5.566587e-02	5.511584e-02	5.582194e-02	5.602664e-02	5.549567e-02	5.584895e-02
1.141141	5.685675e-02	7.568870e-04	5.707531e-02	5.701345e-02	5.686246e-02	5.689204e-02	5.679345e-02	5.623449e-02	5.694737e-02	5.716300e-02	5.661748e-02	5.696842e-02
1.151151	5.799036e-02	7.680111e-04	5.821297e-02	5.814942e-02	5.799000e-02	5.803475e-02	5.792816e-02	5.736076e-02	5.807979e-02	5.830648e-02	5.774652e-02	5.809474e-02
