# mean_total_loss mean_main_loss mean_smoothness_loss mean_l2_loss
1.746376320000000000e+09 1.304093897342681885e-01 2.994013577699661255e-02 1.746376320000000000e+09
1.744577536000000000e+09 1.323172450065612793e-01 2.992009930312633514e-02 1.744577536000000000e+09
1.742836864000000000e+09 1.342673599720001221e-01 2.990004792809486389e-02 1.742836864000000000e+09
1.741105152000000000e+09 1.362406462430953979e-01 2.988102845847606659e-02 1.741105152000000000e+09
1.739411200000000000e+09 1.381869763135910034e-01 2.986237779259681702e-02 1.739411200000000000e+09
1.737741312000000000e+09 1.401500850915908813e-01 2.984417416155338287e-02 1.737741312000000000e+09
1.736100992000000000e+09 1.421449035406112671e-01 2.982582151889801025e-02 1.736100992000000000e+09
1.734472704000000000e+09 1.441335976123809814e-01 2.980767749249935150e-02 1.734472704000000000e+09
1.732854656000000000e+09 1.461339592933654785e-01 2.978947572410106659e-02 1.732854656000000000e+09
1.731274112000000000e+09 1.481666117906570435e-01 2.977288886904716492e-02 1.731274112000000000e+09
1.729693056000000000e+09 1.501769721508026123e-01 2.975665591657161713e-02 1.729693056000000000e+09
1.728175104000000000e+09 1.522207111120223999e-01 2.974094077944755554e-02 1.728175104000000000e+09
1.726629888000000000e+09 1.542255282402038574e-01 2.972552552819252014e-02 1.726629888000000000e+09
1.725109760000000000e+09 1.562804579734802246e-01 2.971030026674270630e-02 1.725109760000000000e+09
1.723637760000000000e+09 1.583658903837203979e-01 2.969645522534847260e-02 1.723637760000000000e+09
1.722180096000000000e+09 1.604535579681396484e-01 2.968276478350162506e-02 1.722180096000000000e+09
1.720702592000000000e+09 1.625208407640457153e-01 2.966976352035999298e-02 1.720702592000000000e+09
1.719346944000000000e+09 1.646560877561569214e-01 2.965722791850566864e-02 1.719346944000000000e+09
1.717889152000000000e+09 1.667882204055786133e-01 2.964483574032783508e-02 1.717889152000000000e+09
1.716488192000000000e+09 1.689475625753402710e-01 2.963267266750335693e-02 1.716488192000000000e+09
1.715130880000000000e+09 1.711276173591613770e-01 2.962067350745201111e-02 1.715130880000000000e+09
1.713760256000000000e+09 1.732704341411590576e-01 2.961016446352005005e-02 1.713760256000000000e+09
1.712375552000000000e+09 1.754230409860610962e-01 2.960061840713024139e-02 1.712375552000000000e+09
1.711015680000000000e+09 1.776110827922821045e-01 2.959166467189788818e-02 1.711015680000000000e+09
1.709659392000000000e+09 1.797885298728942871e-01 2.958390489220619202e-02 1.709659392000000000e+09
1.708382464000000000e+09 1.820060908794403076e-01 2.957629412412643433e-02 1.708382464000000000e+09
1.707053568000000000e+09 1.842297017574310303e-01 2.956866472959518433e-02 1.707053568000000000e+09
1.705768192000000000e+09 1.864697933197021484e-01 2.956059761345386505e-02 1.705768192000000000e+09
1.704504320000000000e+09 1.887072622776031494e-01 2.955296821892261505e-02 1.704504320000000000e+09
1.703170432000000000e+09 1.909748911857604980e-01 2.954530529677867889e-02 1.703170432000000000e+09
1.701867136000000000e+09 1.932360231876373291e-01 2.953852526843547821e-02 1.701867136000000000e+09
1.700586368000000000e+09 1.955258846282958984e-01 2.953148074448108673e-02 1.700586368000000000e+09
1.699296128000000000e+09 1.978278458118438721e-01 2.952398546040058136e-02 1.699296128000000000e+09
1.697989504000000000e+09 2.001290321350097656e-01 2.951632626354694366e-02 1.697989504000000000e+09
1.696679552000000000e+09 2.024358361959457397e-01 2.950811572372913361e-02 1.696679552000000000e+09
1.695356032000000000e+09 2.047341167926788330e-01 2.949987165629863739e-02 1.695356032000000000e+09
1.693975040000000000e+09 2.070191055536270142e-01 2.949107810854911804e-02 1.693975040000000000e+09
1.692762496000000000e+09 2.093795090913772583e-01 2.948201820254325867e-02 1.692762496000000000e+09
1.691488768000000000e+09 2.117331475019454956e-01 2.947378903627395630e-02 1.691488768000000000e+09
1.690198016000000000e+09 2.140914648771286011e-01 2.946566790342330933e-02 1.690198016000000000e+09
1.688895104000000000e+09 2.164614051580429077e-01 2.945790998637676239e-02 1.688895104000000000e+09
1.687734016000000000e+09 2.188817560672760010e-01 2.945136278867721558e-02 1.687734016000000000e+09
1.686399872000000000e+09 2.212934643030166626e-01 2.944465912878513336e-02 1.686399872000000000e+09
1.685149568000000000e+09 2.237345576286315918e-01 2.943767793476581573e-02 1.685149568000000000e+09
1.683912576000000000e+09 2.262015193700790405e-01 2.943137474358081818e-02 1.683912576000000000e+09
1.682611840000000000e+09 2.286507934331893921e-01 2.942466922104358673e-02 1.682611840000000000e+09
1.681398912000000000e+09 2.311446070671081543e-01 2.941748686134815216e-02 1.681398912000000000e+09
1.680114944000000000e+09 2.336233556270599365e-01 2.940954640507698059e-02 1.680114944000000000e+09
1.678866304000000000e+09 2.361181825399398804e-01 2.940236032009124756e-02 1.678866304000000000e+09
1.677550080000000000e+09 2.386094331741333008e-01 2.939523570239543915e-02 1.677550080000000000e+09
1.676237696000000000e+09 2.411033213138580322e-01 2.938832342624664307e-02 1.676237696000000000e+09
1.675020288000000000e+09 2.436481416225433350e-01 2.938164025545120239e-02 1.675020288000000000e+09
1.673742848000000000e+09 2.462051808834075928e-01 2.937521412968635559e-02 1.673742848000000000e+09
1.672533120000000000e+09 2.487835884094238281e-01 2.936969883739948273e-02 1.672533120000000000e+09
1.671201152000000000e+09 2.513230144977569580e-01 2.936502732336521149e-02 1.671201152000000000e+09
1.669956480000000000e+09 2.539016902446746826e-01 2.936032600700855255e-02 1.669956480000000000e+09
1.668722816000000000e+09 2.565041482448577881e-01 2.935601212084293365e-02 1.668722816000000000e+09
1.667504896000000000e+09 2.591160833835601807e-01 2.935182116925716400e-02 1.667504896000000000e+09
1.666295424000000000e+09 2.617452442646026611e-01 2.934786491096019745e-02 1.666295424000000000e+09
1.665043712000000000e+09 2.643773853778839111e-01 2.934395149350166321e-02 1.665043712000000000e+09
1.663852800000000000e+09 2.670062184333801270e-01 2.933982573449611664e-02 1.663852800000000000e+09
1.662668160000000000e+09 2.696635425090789795e-01 2.933597750961780548e-02 1.662668160000000000e+09
1.661531776000000000e+09 2.723557949066162109e-01 2.933215908706188202e-02 1.661531776000000000e+09
1.660399872000000000e+09 2.750589847564697266e-01 2.932871133089065552e-02 1.660399872000000000e+09
1.659121152000000000e+09 2.777041792869567871e-01 2.932545728981494904e-02 1.659121152000000000e+09
1.657981696000000000e+09 2.804198563098907471e-01 2.932215481996536255e-02 1.657981696000000000e+09
1.656602368000000000e+09 2.830069363117218018e-01 2.931973710656166077e-02 1.656602368000000000e+09
1.655468928000000000e+09 2.857263088226318359e-01 2.931738086044788361e-02 1.655468928000000000e+09
1.654279296000000000e+09 2.884357571601867676e-01 2.931510098278522491e-02 1.654279296000000000e+09
