# mean_total_loss mean_main_loss mean_smoothness_loss mean_l2_loss
6.632103278018560000e+15 1.675819307565689087e-01 2.968514896929264069e-02 6.632103278018560000e+15
6.608959846744064000e+15 1.685231328010559082e-01 2.968753315508365631e-02 6.608959846744064000e+15
6.585487850471424000e+15 1.694923490285873413e-01 2.968989312648773193e-02 6.585487850471424000e+15
6.562212885823488000e+15 1.704578995704650879e-01 2.969227731227874756e-02 6.562212885823488000e+15
6.539539753467904000e+15 1.713939458131790161e-01 2.969445288181304932e-02 6.539539753467904000e+15
6.517101770571776000e+15 1.723252087831497192e-01 2.969645708799362183e-02 6.517101770571776000e+15
6.493683461390336000e+15 1.733226329088211060e-01 2.969826757907867432e-02 6.493683461390336000e+15
6.469868404604928000e+15 1.743518710136413574e-01 2.970014885067939758e-02 6.469868404604928000e+15
6.448085404221440000e+15 1.752640753984451294e-01 2.970183826982975006e-02 6.448085404221440000e+15
6.425396165738496000e+15 1.762364953756332397e-01 2.970361895859241486e-02 6.425396165738496000e+15
6.403998638669824000e+15 1.771402359008789062e-01 2.970505505800247192e-02 6.403998638669824000e+15
6.382277378441216000e+15 1.780788451433181763e-01 2.970645017921924591e-02 6.382277378441216000e+15
6.359754569940992000e+15 1.790706068277359009e-01 2.970756776630878448e-02 6.359754569940992000e+15
6.337595223048192000e+15 1.800421327352523804e-01 2.970875240862369537e-02 6.337595223048192000e+15
6.317557053128704000e+15 1.809009164571762085e-01 2.970934659242630005e-02 6.317557053128704000e+15
6.294930628542464000e+15 1.819189935922622681e-01 2.970985136926174164e-02 6.294930628542464000e+15
6.272756786135040000e+15 1.829123049974441528e-01 2.971018850803375244e-02 6.272756786135040000e+15
6.254551493509120000e+15 1.836902499198913574e-01 2.971028536558151245e-02 6.254551493509120000e+15
6.234917587386368000e+15 1.845471113920211792e-01 2.971028536558151245e-02 6.234917587386368000e+15
6.215775991889920000e+15 1.853888332843780518e-01 2.971028536558151245e-02 6.215775991889920000e+15
6.196105041674240000e+15 1.862726807594299316e-01 2.971025742590427399e-02 6.196105041674240000e+15
6.175390414405632000e+15 1.872226297855377197e-01 2.971018850803375244e-02 6.175390414405632000e+15
6.156688516186112000e+15 1.880570650100708008e-01 2.971018292009830475e-02 6.156688516186112000e+15
6.136165551833088000e+15 1.890102624893188477e-01 2.971066534519195557e-02 6.136165551833088000e+15
6.114808290082816000e+15 1.900149285793304443e-01 2.971121855080127716e-02 6.114808290082816000e+15
6.098246359318528000e+15 1.907485872507095337e-01 2.971158735454082489e-02 6.098246359318528000e+15
6.080269236830208000e+15 1.915711909532546997e-01 2.971183322370052338e-02 6.080269236830208000e+15
6.061834700324864000e+15 1.924282610416412354e-01 2.971253916621208191e-02 6.061834700324864000e+15
6.041104503799808000e+15 1.934376209974288940e-01 2.971318177878856659e-02 6.041104503799808000e+15
6.024625251155968000e+15 1.941871643066406250e-01 2.971375919878482819e-02 6.024625251155968000e+15
6.006872003837952000e+15 1.950216293334960938e-01 2.971455827355384827e-02 6.006872003837952000e+15
5.989539663314944000e+15 1.958447396755218506e-01 2.971516549587249756e-02 5.989539663314944000e+15
5.972030692261888000e+15 1.966864168643951416e-01 2.971598692238330841e-02 5.972030692261888000e+15
5.954851896819712000e+15 1.975182741880416870e-01 2.971662580966949463e-02 5.954851896819712000e+15
5.934840570445824000e+15 1.985142976045608521e-01 2.971829473972320557e-02 5.934840570445824000e+15
5.917197381664768000e+15 1.993480175733566284e-01 2.971985563635826111e-02 5.917197381664768000e+15
5.901362910986240000e+15 2.001003772020339966e-01 2.972160838544368744e-02 5.901362910986240000e+15
5.882513910136832000e+15 2.010453045368194580e-01 2.972330152988433838e-02 5.882513910136832000e+15
5.867437501186048000e+15 2.017769515514373779e-01 2.972507290542125702e-02 5.867437501186048000e+15
5.849387901124608000e+15 2.026897817850112915e-01 2.972701750695705414e-02 5.849387901124608000e+15
5.834272300597248000e+15 2.034278512001037598e-01 2.972899936139583588e-02 5.834272300597248000e+15
5.818975774572544000e+15 2.041878998279571533e-01 2.973116934299468994e-02 5.818975774572544000e+15
